iyi geçti mi	iyi geçmek ?
o öğretmene bazı sorular sordu	o öğretmen bazı soru sormak
parti yapmayı severim	ben parti yapmak sevmek
çocuğu bırak	sen çocuk bırakmak
o üniversitede basketbol oynuyordu	o üniversite basketbol oynamak
geldiğine sevindim	ben senin gelmek sevinmek
annemle oraya gittim	ben benim anne ile oraya gitmek
bunun ne anlama geldiğini biliyorum	ben bu ne anlam gelmek bilmek
senin güvenliğin hakkında endişelendi	o senin güven hakkında endişelenmek
lütfen bizimle temas kur	sen lütfen bizim ile temas kurmak
müzenin girişi neresi	müze giriş neresi ?
şimdi burada çalışıyorum	ben şimdi burada çalışmak
polise teslim olmalısın	sen polis teslim_olmak
bugün hava yağmurlu	bugün hava yağmur
akşam yemeği için masayı hazırladın	sen akşam yemek için masa hazırlamak
ablam odada çantasını hazırlıyor	benim oda orada onun çanta hazırlamak
o adamları tanımıyorum	ben o adam onlar tanımak değil
o şaka mı yapıyordu	o şaka yapmak ?
o erkek arkadaşıyla ayrılmayı planlıyor	o onun erkek arkadaş ile ayrılmak planlamak
seni caddede yürürken gördü	sen cadde orada yürümek o görmek
o evindeymiş gibi hissetti	o ev gibi hissetmek
duygu yoktur	duygu yok değil
cevabını almayı dört gözle bekliyorum	ben senin cevap almak heyecan beklemek
marketlerden aldığımız yiyecekler aşırı paketlenmiş	market orada bizim almak yiyecek aşırı paketlemek
onlar haftada bir kez et yerler	onlar hafta bir defa et yemek
onun düşük çenesi var	onun düşük çene var
sigarayı bıraktı	ben sigara bırakmak
onun için mutluyum	ben onun için mutlu
bana bunun doğru olmadığını söyle	sen bana bu doğru olmak değil söylemek
kuzenim gitar çalabilir ancak ben çalamam	benim kuzen gitar çalmak ancak ben çalmak değil
suçlu hissetmiyor musun	sen suçlu hissetmek değil ?
tamam tekrar dene	tamam sen tekrar denemek
ona yapacağımı söyle	sen ona benim yapmak söylemek
amcam bana saat verdi	benim amca bana saat vermek
ırkçı mısın	sen ırkçı ?
o çok çalışıyordu	o çok çalışmak
bildiğin her şeyi bilmek istiyorum	ben senin bilmek her_şey bilmek istemek
ben telefonumu arıyorum	ben benim telefon aramak
yaşlı değilim	ben yaşlı değil
biraz ses çıkar	sen biraz ses çıkarmak
o ve ben her zaman beraber yeriz	o ve ben her zaman beraber yemek
ben müzik okuyamıyorum	ben müzik okumak değil
evimizin arkasında bir köpek var	bizim ev arka orada bir köpek var
yaşlı amcam mavi bir kazak alacak	benim yaşlı amca mavi bir kazak almak
bir defa başladın mı devam etmelisin	sen bir defa başlamak devam_etmek
o insanlarla ilgilenir	o insan onlar ile ilgilenmek
kendimi iyi hissetmiyorum	kendim iyi hissetmek değil
onlar gittiler mi	onlar gitmek ?
bir arkadaşımla tanışmanı istiyorum	ben senin benim bir arkadaş ile tanışmak istemek
onun söylediklerini dinlemelisin	sen onun söylemek dinlemek
araba sürmeyi biliyorum	ben araba sürmek bilmek
bilgisayara bir virüs bulaşmış gibi duruyor	bilgisayar bir virüs bulaşmak gibi durmak
nerede oynuyor	o nerede oynamak ?
onu yeniden yazdım	ben o yeniden yazmak
burada olacağım	ben burada olmak
o oy verdi	o oy_vermek
o yeni öğretmenimiz olabilir	o bizim yeni öğretmen olmak
onu görmeye gideceğim	ben o görmek gitmek
hiç kimse beni görmedi	hiç_kimse ben görmek
yeterli içilirse alkol zararlı değildir	yeterli içmek alkol zarar değil
önemli mi	önemli ?
sen sonra yap	sen sonra yapmak
o ve ben koştum	o ve ben koşmak
kaç tane gitarın var	senin kaç tane gitar var ?
market çok kalabalıktı	market çok kalabalık
sadece onlardan nefret ediyorum	ben sadece onlar nefret_etmek
öğretmenimiz olarak ona saygı duyuyoruz	o bizim öğretmen olmak ona saygı duymak
otobüsü gördüm	ben otobüs görmek
sen çocuklarla iyisin	sen çocuk x2 ile iyi
içeri girmeden önce kapıyı çal	sen içeri girmek önce kapı çalmak
onun aradığı şeye sahip değilim	ben onun aramak şey sahip değil
sağlığa zararlı yiyecekleri yemiyorum	ben sağlık zarar yiyecek yemek değil
o bütün parasını kaybettiği için seni affetti	o bütün para kaybetmek için sen affetmek
sadece zamanını harcıyorsun	sen sadece senin zaman harcamak
çok eğlendim	ben çok eğlenmek
o kazanamama izin vermedi	o benim kazanmak izin_vermek değil
o ve sen ikiniz de iyi öğretmenler değil mi	o ve sen ikiniz iyi öğretmen değil ?
bunu dolaba koyalım	biz bu dolap koymak
herkese söylendi mi	o herkes söylemek ?
üniversiteye gitmeyi düşünüyorum	ben üniversite gitmek düşünmek
tam cümleler istiyoruz	biz tam cümle x2 istemek
bunlar ucuz değiller	bu ucuz değil
artık komik gelmiyor	artık komik gelmek değil
bunun doğru olmadığını söyle	sen bu doğru olmak değil söylemek
erkek kardeşim korku filmleri seyretmeyi sever	benim erkek kardeş korku film seyretmek sevmek
o onu istemiyor	o istemek değil o
o neden bana sarıldı	o neden bana sarılmak ?
eğlenceli olmalı	eğlence olmak
onun parası yoktu	onun para yok
aç olmadığımı söyledim	ben aç olmak değil söylemek
evinizde kaç oda var	sizin ev orada kaç oda var ?
istediğiniz gibi yapın	siz istemek gibi yapmak
oğlun kaç yaşında	senin oğul kaç yaş ?
o hikaye ile ilgilendi	o hikaye ile ilgilenmek
evet haklısın	evet sen haklı
ben bir evi iki arkadaşımla paylaşıyorum	ben bir ev benim iki arkadaş ile paylaşmak
onun çantasını tuttu	o onun çanta tutmak
beklenildiği gibi onlar yarışmayı kaybettiler	beklemek gibi onlar yarışma kaybetmek
boş ver	sen boş vermek
ben resim yapamam	ben resim_yapmak değil
bu imkansız gibi	bu imkansız gibi
ben onun nerede olduğunu öğrendim	ben onun nerede olmak öğrenmek
hangisini istiyorsun	sen hangi istemek ?
bu televizyonu aldım	bu televizyon ben almak
bunu kim buldu	kim bulmak bu ?
onu aradığın için teşekkür ederim	sen o aramak için ben teşekkür_etmek
o bütün arazisini sattı	o onun bütün arazi satmak
o benim için işe yaramaz	o benim için iş yaramaz
ablamla beraber dışarı çıkmak istiyor mu	o benim abla ile beraber dışarı çıkmak istemek ?
okula gideceğim	ben okul gitmek
o acı veriyordu	o acı vermek
onlar geç kalmıştı	onlar geç_kalmak
ben bir tek çocuğum	ben bir tek çocuk
benimle kafede buluştu	o benim ile kafe orada buluşmak
ne kadar süredir oradaydın	sen ne_kadar süre orada ?
yorgun ama mutluydu	o yorgun ama mutlu
seni özlüyoruz	ben sen özlemek
nefesini boşa harcıyorsun	sen senin nefes boş harcamak
çocuk gitmedi	çocuk gitmek değil
iyi uykular	iyi uyku
mutfak dolabını açtı	o mutfak dolap açmak
sana nasıl teşekkür edebilirim	ben sana nasıl teşekkür_etmek ?
o gitti	o gitmek
ben zaten bitirdim	ben zaten bitirmek
o onu yapmayı unutmuş olmalı	o o yapmak unutmak olmak
hayatta olduğum için şanslıyım	ben hayat olmak için şans
o gülümsedi	o gülümsemek
çocukların da hisleri var	çocuk x2 his var
yaşlı insanlarla alay etmeyin	siz yaşlı insan onlar ile alay_etmek değil
insanlarla tartışmayı severim	ben insan x2 ile tartışmak sevmek
kitap okuyorum	ben kitap okumak
tv izlemeyi seviyor	o televizyon izlemek sevmek
yolda yürürken eski bir arkadaşa rastladım	ben yol orada yürümek eski bir arkadaş karşılaşmak
sen asla onu görmedin	sen asla o görmek değil
öğrenciler de yardımcı oldu	öğrenci yardımcı_olmak
birisinin ambulans çağırması gerekir mi	biri ambulans çağırmak gerekmek ?
erkek kardeşim dışarı çıktı	benim erkek kardeş dışarı çıkmak
arkadaşımı son gördüğümde sakalı vardı	ben benim arkadaş son görmek onun sakal var
biz hatalar yaparız	biz hata yapmak
o eve geldiğinde beni uyandır	o ev gelmek sen ben uyandırmak
gitmeden önce onun adamları şehri kirlettiler	gitmek önce onun onlar adam şehir kirletmek
başka ne istiyorsun	sen başka ne istemek ?
senin için yazıyorum	ben senin için yazmak
araba bisikletin yerini aldı	araba bisiklet yer almak
bir film izlemek istiyorum	ben bir film izlemek istemek
tekneyi hazırlıyorum	ben tekne hazırlamak
ayakkabılarını bağla	sen senin ayakkabı bağlamak
kadınlar renkli şemsiyeleri severler	kadın onlar renk şemsiye sevmek
sanırım buldun	ben sanmak bulmak
onun burada çok arkadaşları var	onun burada çok arkadaş x2 var
o odasını temizlemekten nefret ediyor	o onun oda temizlemek nefret
biz onu evde bulduk	biz o ev orada bulmak
korku filmi izleyeceğim	ben korku film izlemek
önce onu tanımadım	ben önce o tanımak değil
arkadaşının adı ne	senin arkadaş ad ne ?
erken geldin	sen erken gelmek
o gözlüklerini kaybettiği için onun okumasını rica etti	o onun gözlük kaybetmek için onun okumak rica_etmek
o seni seviyor olmalı	o seni sevmek olmak
burada dışarısı çok soğuk	burada dışarı çok soğuk
o bir sınıf değil	o bir sınıf değil
o yalan söyledi	o yalan_söylemek
kuzenimin arkadaşı benim defterimi ödünç aldı	benim kuzen onun arkadaş benim defter ödünç almak
güneş sönse bütün yaşayan şeyler ölür	güneş sönmek bütün yaşamak şey ölmek
şimdi boş musun	sen şimdi boş ?
bize bak	sen biz bakmak
sınav ne kadar zordu	sınav ne_kadar zor ?
kim alışverişe gitmek ister	kim alışveriş gitmek istemek ?
bir not var mıydı	bir not var ?
o orada olmasaydı daha iyi olur muydu	o orada olmak değil daha iyi olmak ?
yaz mevsimini sevmem	ben yaz mevsim sevmek değil
o bana bir şey göstermedi	o bana bir_şey göstermek değil
az önce hapisten çıktım	ben az önce hapis çıkmak
bu öğleden sonra dışarı çıkıyorum	ben bu öğleden_sonra dışarı çıkmak
baba evde değil	baba ev değil
neden çalışıyorsun	sen neden çalışmak ?
telefonum tekrar çaldı	benim telefon tekrar çalmak
nedenini bana sormayın	siz sormak değil bana neden
kimse beni görmedi	kimse ben görmek
tv izlerken uyuyakaldım	ben televizyon izlemek uyumak
arabayı durdurdum	ben araba durdurmak
kız kardeşim benzin kokusu aldı	benim kız kardeş benzin koku almak
bu benim anne ve babamın bir fotoğrafı	bu benim anne ve baba bir fotoğraf
şok oldum	ben şok olmak
nadiren arapça yazılmış kitapları okurum	ben az okumak arapça yazmak kitap
o telefonla konuşuyor	o telefon ile konuşmak
hiç acelem yoktu	benim hiç acele yok
bunu doğru yapmıyor muyum	ben bu doğru yapmak değil ?
biz bunu tekrar yaptık	biz bu tekrar yapmak
benim gücüm geri dönüyor	benim güç geri dönmek
yurtdışından borç aldığım şey bu telefondu	yurtdışı benim borç_almak şey bu telefon
bazen birkaç gün devam edebilir	bazen birkaç gün devam_etmek
o için dua et	sen o için dua_etmek
o geri gelmediğini söyledi	o geri gelmek değil söylemek
yardım edeyim	ben yardım_etmek
bu rengi sevmiyorum	ben bu renk sevmek değil
dışarı çıkıyoruz	biz dışarı çıkmak
arkadaşım nasıl açtı	benim arkadaş nasıl açmak ?
dışarıda arkadaşımla beraber yürürken yerde para gördüm ve aldım	ben dışarı orada benim arkadaş ile beraber yürümek yer orada para görmek ve almak
sadece içimde değişik bir duygu vardı	sadece benim iç değişik bir duygu var
ben bu yerden her zaman nefret ettim	ben bu mekan her zaman nefret
burada bir öğretmen misin	sen burada bir öğretmen ?
yaptığım şeyi seviyorum	ben benim yapmak şey sevmek
kız arkadaşımı çok özlüyorum	ben benim kız arkadaş çok özlemek
onların hepsi ona bakmak için döndü	onların hepsi ona bakmak için dönmek
bankada param yok	benim banka para yok
ben öyle yapmak niyetindeyim	ben öyle yapmak niyet
bu bize kalmış	bu biz kalmak
profesör oldu	o profesör olmak
işler iyileşmeye devam ediyor	iş iyileşmek devam_etmek
sakin kaldım	ben sakin kalmak
hepsi burada	hepsi burada
onlar kaybetti	onlar kaybetmek
o trenle gidip gelir	o tren ile gitmek gelmek
şimdi akşam yemeğini yiyin	şimdi akşam yemek yemek
hayat nasıl	hayat nasıl ?
keşke beraber gitsek	biz keşke beraber gitmek
ben sıkıldım ve uykudum	ben sıkılmak ve uyumak
onun ne yaptığını görünce sinirlendim	ben onun ne yapmak görmek sinirlenmek
üvey annemden hoşlanmıyorum	ben benim üvey anne hoşlanmak değil
benimle konuş	sen benim ile konuşmak
cezası henüz kesinleşmedi	onun ceza henüz kesin değil
ona ödeme yaptım	ben ona ödemek yapmak
bu yerden nefret ediyorum	ben bu yer nefret
geçen ay ceza evinden serbest bırakıldı	o geçmiş ay cezaevi serbest olmak
galiba sıra bende	galiba sıra ben
şaşırmış gibi davranma	sen şaşırmak gibi davranmak değil
eve git	sen ev gitmek
ben düştüm	ben düşmek
o resim yapıyor	o resim_yapmak
nedenini bulalım	biz neden bulmak
o benim üvey babam	o benim üvey baba
pazartesi akşamları nereye gidiyorsunuz	siz pazartesi akşam nereye gitmek ?
uykum geldi	benim uyku gelmek
arabama geri döndüm	ben benim araba geri dönmek
ben çocuklarla gerçekten iyi değilim	ben çocuk x2 ile gerçek iyi değil
onlar benim arkadaşımı seviyor	onlar benim arkadaş sevmek
ne korkunç bir rapor	ne korkunç bir rapor
yemek hazırladı	o yemek hazırlamak
arkadaşı gitmek ve amcasıyla yaşamak	onun arkadaş gitmek ve onun amca ile yaşamak
telefon nerede	telefon nerede ?
siz okula gitmediniz	siz okul gitmek değil
kardeşim çok erken kalkıyor	benim kardeş çok erken kalkmak
bu iyi bir kamera	bu iyi bir kamera
bu rengi sever misiniz	siz bu renk sevmek ?
ofis numarası nedir	onun ofis numara ne ?
onu televizyonda gördüm	ben o televizyon orada görmek
o kiminle kayak yapıyordu	o kim ile kayak yapmak ?
gerçekten bununla ilgilendi	gerçek bu ile ilgilenmek
o bir tembel	o bir tembel
onu sevmiyor musunuz	siz o sevmek değil ?
bana çantasını uzattı	o bana onun çanta uzatmak
bir yavru köpek satıyorum	ben bir yavru köpek satmak
yaşlı bir adama benziyordu	yaşlı bir adam benzemek
mutfakta kimse yok	mutfak orada kimse yok
sen hangi gazeteyi okuyorsun	sen hangi gazete okumak
bardağı yeniden doldurdu	o bardak yeniden doldurmak
ben neye bakıyorum	ben ne bakmak ?
ben matematik okuyorum	ben matematik okumak
yalnız yemeyi tercih ederim	ben yalnız yemek tercih_etmek
güzel bir yolculuk muydu	güzel bir yolculuk ?
sahip olduğum her şey odur	benim tüm sahip olmak şey o
seninle tanışmak istedim	ben senin ile tanışmak istemek
bu konuda öğretmene her şeyi anlatacağım	ben bu konu öğretmen her_şey anlatmak değil
bunu asla yapmamasını ona söyledi	o bu asla yapmak değil ona söylemek
ondan uzak durun	sen o uzak durmak
neden onu yapıyorsun	sen neden o yapmak ?
biraz ekmek aldım	ben biraz ekmek almak
bu senin araban mı	bu senin araba ?
annesi buzdolabından yemek alıp ısıtmış	onun anne buzdolabı yemek almak ısıtmak
evimizin önünde birkaç gül ağacı var	bizim ev önünde birkaç gül ağaç var
yolun iki şerite ayrıldığı bir yere geldik	biz yol iki şerit ayrılmak bir yer gelmek
onu tekrar aramadım	ben o tekrar aramak değil
ben ekmek yemem	ben ekmek yemek değil
lütfen otobüs tam bir durağa gelinceye kadar oturmuş olarak kal	lütfen otobüs tam bir durak gelmek kadar oturmak olmak kalmak
çanta boş	benim çanta boş
hayat aldığımız nefes sayısıyla ölçülmez fakat nefesimizi kesen anlarla ölçülür	hayat bizim almak nefes sayı ölçmek değil fakat bizim nefes kesmek an ölçmek
bunlar benim en iyi arkadaşlarım	bunlar benim en iyi arkadaş
ben de türkçe okuyacağım	ben türkçe okumak
biraz müzik açın	biraz müzik açmak
bütün gece yatmayıp yazı yazdım	ben bütün gece yatmak değil yazı yazmak
belki o fikri beğendi	belki o fikir beğenmek
ben ünlü bir ressam olmayı istiyorum	ben ünlü bir ressam olmak istemek
en iyisi sınava hazırlanmaya başlayalım	en iyi biz sınav hazırlamak başlamak
kalabalık büyüktü	kalabalık büyük
galiba o biraz önce bana yalan söyledi	galiba o biraz önce bana yalan_söylemek
işimi bitirdim	ben benim iş bitirmek
o spor izlemeyi severdi	o spor izlemek sevmek
evet diyebilirim	ben evet demek ebilmek
onun önerisini beğenmedim	ben onun öneri beğenmek değil
onun gözleri bağlıydı	onun göz bağlı
size rapor vermemi söyledi	o benim siz rapor vermek söylemek
o tekrar başladı	o tekrar başlamak
oğlu şu anda üniversitede	onun oğul şu an üniversite
bir kraliçe görüyorum	ben bir kraliçe görmek
o her gün öğretmene bir elma verir	o her_gün öğretmen bir elma vermek
ev ödevinden hoşlanmıyorum	ben ödev hoşlanmak değil
onlar yedide yemek yerler	onlar saat yedi yemek yemek
odamı temizliyordum	ben benim oda temizlemek
bir iş buldun mu	sen bir iş bulmak ?
dünya dönüyor	dünya dönmek
hazır olmadığımı fark ettim	ben benim hazır olmak değil fark_etmek
biz bir şikayet aldık	biz bir şikayet almak
yaz bitiyor	yaz bitmek
bunu yapmayı seviyorum	ben bu yapmak sevmek
onu yapmayı seçtim	ben o yapmak seçmek
derse geç kalacağım	ben ders geç_kalmak
gelin ve bize yardım et	siz gelmek ve biz yardım_etmek
bazı günler iyi hissediyorum	ben bazı gün iyi hissetmek
ben kayıp cüzdanımı buldum	ben benim kayıp cüzdan bulmak
hızlı şekilde çalıştırabilirim	ben hızlı şekil çalıştırmak
kuzenimi işe almadım	ben benim kuzen iş almak değil
neden bu kadar beklediniz	neden bu_kadar beklemek ?
onun kız arkadaşıyla hiç tanıştın mı	sen onun kız arkadaş ile hiç tanışmak ?
